Date,Open,High,Low,Close,Adj Close,Volume,Label
12/15/2016,19811.5,19951.28906,19811.5,19852.24023,19852.24023,357350000,1
12/14/2016,19876.13086,19966.42969,19748.66992,19792.5293,19792.5293,408430000,0
12/13/2016,19852.21094,19953.75,19846.44922,19911.21094,19911.21094,388420000,1
12/12/2016,19770.19922,19824.58984,19747.74023,19796.42969,19796.42969,333660000,1
12/9/2016,19631.34961,19757.74023,19623.18945,19756.84961,19756.84961,334470000,1
12/8/2016,19559.93945,19664.9707,19527.83008,19614.81055,19614.81055,324570000,1
12/7/2016,19241.99023,19558.41992,19229.83008,19549.61914,19549.61914,385200000,1
12/6/2016,19219.91016,19255.89063,19184.74023,19251.7793,19251.7793,284960000,1
12/5/2016,19244.34961,19274.84961,19186.73047,19216.24023,19216.24023,317800000,0
12/2/2016,19161.25,19196.14063,19141.17969,19170.41992,19170.41992,84920000,1
12/1/2016,19149.19922,19214.30078,19138.78906,19191.92969,19191.92969,108800000,1
11/30/2016,19135.64063,19225.28906,19123.38086,19123.58008,19123.58008,164570000,0
11/29/2016,19064.07031,19144.40039,19062.2207,19121.59961,19121.59961,81510000,1
11/28/2016,19122.14063,19138.7207,19072.25,19097.90039,19097.90039,88460000,0
11/25/2016,19093.7207,19152.14063,19093.7207,19152.14063,19152.14063,45890000,1
11/23/2016,19015.51953,19083.75977,19000.38086,19083.17969,19083.17969,77880000,1
11/22/2016,18970.39063,19043.90039,18962.82031,19023.86914,19023.86914,85310000,1
11/21/2016,18898.67969,18960.75977,18883.09961,18956.68945,18956.68945,80520000,1
11/18/2016,18905.33008,18915.74023,18853.83008,18867.92969,18867.92969,109880000,0
11/17/2016,18866.2207,18904.0293,18845.26953,18903.82031,18903.82031,89940000,1
11/16/2016,18909.84961,18909.84961,18825.89063,18868.14063,18868.14063,87320000,0
11/15/2016,18858.21094,18925.25977,18806.06055,18923.06055,18923.06055,100660000,1
11/14/2016,18876.76953,18934.05078,18815.75,18868.68945,18868.68945,112250000,0
11/11/2016,18781.65039,18855.7793,18736.96094,18847.66016,18847.66016,107300000,1
11/10/2016,18603.14063,18873.66016,18603.14063,18807.88086,18807.88086,164390000,1
11/9/2016,18317.25977,18650.06055,18252.55078,18589.68945,18589.68945,173110000,1
11/8/2016,18251.38086,18400.5,18200.75,18332.74023,18332.74023,79820000,1
11/7/2016,17994.64063,18263.30078,17994.64063,18259.59961,18259.59961,93450000,1
11/4/2016,17928.34961,17986.75977,17883.56055,17888.2793,17888.2793,97760000,0
11/3/2016,17978.75,18006.96094,17904.07031,17930.66992,17930.66992,77860000,0
11/2/2016,18017.7207,18044.15039,17931.89063,17959.64063,17959.64063,88610000,0
11/1/2016,18158.24023,18177.00977,17940.83984,18037.09961,18037.09961,101280000,0
10/31/2016,18176.59961,18193.67969,18130.58008,18142.41992,18142.41992,110080000,0
10/28/2016,18193.78906,18257.06055,18094.9707,18161.18945,18161.18945,107850000,0
10/27/2016,18234.81055,18253.19922,18149.19922,18169.67969,18169.67969,83530000,0
10/26/2016,18103.80078,18236.03906,18062.30078,18199.33008,18199.33008,86340000,1
10/25/2016,18206.51953,18241.68945,18151.69922,18169.26953,18169.26953,83190000,0
10/24/2016,18197.14063,18275.03906,18191.17969,18223.0293,18223.0293,88540000,1
10/21/2016,18152.63086,18168.75977,18049.76953,18145.71094,18145.71094,117810000,0
10/20/2016,18161.86914,18249.05078,18129.07031,18162.34961,18162.34961,88830000,1
10/19/2016,18178.21094,18252.19922,18169.25,18202.61914,18202.61914,88040000,1
10/18/2016,18145.06055,18225.80078,18129.44922,18161.93945,18161.93945,74600000,1
10/17/2016,18135.84961,18162.2793,18063.01953,18086.40039,18086.40039,75960000,0
10/14/2016,18177.34961,18261.10938,18138.38086,18138.38086,18138.38086,87050000,0
10/13/2016,18088.32031,18137.69922,17959.94922,18098.93945,18098.93945,83160000,1
10/12/2016,18132.63086,18193.96094,18082.08984,18144.19922,18144.19922,72230000,1
10/11/2016,18308.42969,18312.33008,18061.96094,18128.66016,18128.66016,88610000,0
10/10/2016,18282.94922,18399.96094,18282.94922,18329.03906,18329.03906,72110000,1
10/7/2016,18295.34961,18319.73047,18149.34961,18240.49023,18240.49023,82680000,0
10/6/2016,18280.41992,18288.11914,18162.9707,18268.5,18268.5,78660000,0
10/5/2016,18205.5,18315.82031,18205.5,18281.0293,18281.0293,76190000,1
10/4/2016,18267.67969,18313.76953,18116.25977,18168.44922,18168.44922,79710000,0
10/3/2016,18279.59961,18279.80078,18203.75,18253.84961,18253.84961,68520000,0
9/30/2016,18181.80078,18369.61914,18181.80078,18308.15039,18308.15039,135470000,1
9/29/2016,18322.88086,18366.23047,18091.64063,18143.44922,18143.44922,95880000,0
9/28/2016,18240.2207,18349.85938,18179.33984,18339.24023,18339.24023,97650000,1
9/27/2016,18099.21094,18238.09961,18052.16016,18228.30078,18228.30078,84130000,1
9/26/2016,18217.75977,18217.75977,18083.32031,18094.83008,18094.83008,95510000,0
9/23/2016,18377.35938,18383.75977,18254.83984,18261.44922,18261.44922,87170000,0
9/22/2016,18343.75977,18449.88086,18343.75977,18392.46094,18392.46094,73030000,1
9/21/2016,18164.96094,18307.42969,18121.57031,18293.69922,18293.69922,94090000,1
9/20/2016,18175.35938,18227.21094,18128.80078,18129.96094,18129.96094,72450000,0
9/19/2016,18154.82031,18254.88086,18093.05078,18120.16992,18120.16992,78090000,0
9/16/2016,18217.21094,18217.21094,18070.21094,18123.80078,18123.80078,278510000,0
9/15/2016,18024.91016,18250.10938,18015.49023,18212.48047,18212.48047,99550000,1
9/14/2016,18073.39063,18163.48047,17992.21094,18034.76953,18034.76953,103360000,0
9/13/2016,18262.99023,18262.99023,18028.06055,18066.75,18066.75,102830000,0
9/12/2016,18028.94922,18358.68945,17994.83984,18325.07031,18325.07031,103260000,1
9/9/2016,18404.16992,18404.16992,18085.44922,18085.44922,18085.44922,120670000,0
9/8/2016,18486.68945,18506.24023,18446.68945,18479.91016,18479.91016,79060000,0
9/7/2016,18527.71094,18536.89063,18474.76953,18526.14063,18526.14063,67570000,0
9/6/2016,18493.40039,18551.53906,18450.32031,18538.11914,18538.11914,83710000,1
9/2/2016,18466.00977,18544.75977,18439.09961,18491.96094,18491.96094,74350000,1
9/1/2016,18396.57031,18430.05078,18295.48047,18419.30078,18419.30078,74780000,1
8/31/2016,18436.69922,18439.67969,18333.56055,18400.88086,18400.88086,98250000,0
8/30/2016,18491.2793,18514.28906,18408.51953,18454.30078,18454.30078,68920000,0
8/29/2016,18421.28906,18523.08984,18419.91992,18502.99023,18502.99023,64480000,1
8/26/2016,18467.91992,18572.08984,18335.33984,18395.40039,18395.40039,78730000,0
8/25/2016,18471.21094,18497.67969,18431.46094,18448.41016,18448.41016,64480000,0
8/24/2016,18537.5,18539.15039,18448.26953,18481.48047,18481.48047,72270000,0
8/23/2016,18568.93945,18631.59961,18545.51953,18547.30078,18547.30078,73990000,0
8/22/2016,18535.85938,18570.91992,18466.85938,18529.41992,18529.41992,73450000,0
8/19/2016,18585.16992,18585.16992,18491.24023,18552.57031,18552.57031,93170000,0
8/18/2016,18566.53906,18600.82031,18533.28906,18597.69922,18597.69922,70740000,1
8/17/2016,18537.08984,18582.34961,18468.67969,18573.93945,18573.93945,71000000,1
8/16/2016,18614.48047,18614.85938,18550.65039,18552.01953,18552.01953,67570000,0
8/15/2016,18588.58984,18722.60938,18559.92969,18636.05078,18636.05078,62350000,1
8/12/2016,18595.65039,18606.06055,18535.85938,18576.4707,18576.4707,61580000,0
8/11/2016,18519.08008,18638.33984,18519.08008,18613.51953,18613.51953,71470000,1
8/10/2016,18541.48047,18561.75,18468.7793,18495.66016,18495.66016,62780000,0
8/9/2016,18538.05078,18585.32031,18507.75,18533.05078,18533.05078,60090000,0
